,Подразделение,Поле,Field_ID,Year,Area,Yield,Агрофон,Культура,Previous_Years_Yield,Previous_Year_Mean_Region,Total Fertilizer/ha,Macro Total/ha,Micro Total/ha,Fung Total/ha,Pest Total/ha,bdod,cec,clay,phh2o,sand,silt,soc,DOY_min,DOY_max,5_relative_humidity,6_relative_humidity,7_relative_humidity,8_relative_humidity,5_surface_solar_radiation_downwards_sum,6_surface_solar_radiation_downwards_sum,7_surface_solar_radiation_downwards_sum,8_surface_solar_radiation_downwards_sum,5_temperature_2m_max,6_temperature_2m_max,7_temperature_2m_max,8_temperature_2m_max,5_temperature_2m_min,6_temperature_2m_min,7_temperature_2m_min,8_temperature_2m_min,5_total_precipitation_sum,6_total_precipitation_sum,7_total_precipitation_sum,8_total_precipitation_sum,5_v_component_of_wind_10m,6_v_component_of_wind_10m,7_v_component_of_wind_10m,8_v_component_of_wind_10m,5_vapor_pressure_deficit,6_vapor_pressure_deficit,7_vapor_pressure_deficit,8_vapor_pressure_deficit
0,Абайское,34к,185Абайское,2021,236.2,20.2,Пар чистый,Пшеница мягкая Шортандинская 2012  1 репродукция,10.425,13.732524643649349,0.0,0.0,0.0,0.0,0.0,101.46227296315516,390.58352355260433,286.0221000207513,67.88576468146918,328.56899771736886,385.3881510686866,640.1504929942913,151,152,38.812377578886185,43.85334263623362,54.34753671875988,49.26835038826477,736289240.0,742774200.0,638041004.0,580111908.0,307.7800750732422,307.79400634765625,309.9163513183594,307.0469512939453,274.4620666503906,279.4006805419922,283.77691650390625,281.87066650390625,0.0101534412082386,0.0193491080153584,0.074374921041624,0.015165879140973,0.2665198067183135,-1.0487127290831673,-1.1787893015851256,-0.953436340055158,1.3641702089565615,1.29946525404573,1.1200177252692278,1.3415175483644213
1,Абайское,35,186Абайское,2021,217.0,28.2,Пар чистый,Пшеница мягкая Шортандинская 2012  1 репродукция,12.8,13.732524643649349,0.0,0.0,0.0,0.0,0.0,101.9751421393627,387.53769045709697,284.8576583801122,67.92582197273454,364.9468056669341,350.28454958567227,663.9122041517916,150,151,38.855586383081,43.87905534626765,54.36717615132352,49.28384172030576,736280071.5203955,742713670.3337452,637990297.6341162,580054456.145859,307.7782040326056,307.7946702653015,309.9155063322654,307.0512365805646,274.4129075096328,279.4181234692171,283.75802785828614,281.86531272482665,0.0101505645841973,0.0194252512913279,0.0744016800458927,0.0151148477291737,0.2658343506890535,-1.0477938276630003,-1.1790022719905715,-0.9529675861287634,1.3625075081168083,1.2985586045950683,1.1194021808843524,1.3409415979356665
2,Абайское,36,187Абайское,2021,531.0,26.6,Пар чистый,Пшеница мягкая Шортандинская 2012  1 репродукция,12.2,13.732524643649349,0.0,0.0,0.0,0.0,0.0,100.68561328433888,403.7452667814111,281.260175838489,67.70791273200908,366.6889333395357,352.0645671489043,704.4366249593007,144,148,39.08726760499592,44.00362400278094,54.49473466927996,49.40291916257774,736248417.4369268,742358721.5486685,637729273.2754256,579723319.7512002,307.77493522574105,307.79558095345067,309.9216147813667,307.06526770190027,274.1905557806446,279.49272379548404,283.6732606392455,281.8363644930016,0.0100750691265628,0.0196688225688468,0.0750616130415797,0.0147577557769781,0.2625510236350089,-1.0450140530810192,-1.1780009055363332,-0.951290465159147,1.3543531729238596,1.29464120831965,1.1157651353136897,1.3370673469806251
3,Абайское,37,188Абайское,2021,384.0,19.9,Пар чистый,Пшеница мягкая Шортандинская 2012  1 репродукция,7.3,13.732524643649349,0.0,0.0,0.0,0.0,0.0,99.91239734063352,405.8332681527832,301.5756094381437,68.02150958154087,325.51049406857004,372.9826619736671,763.4103767435796,147,150,39.79446311782333,44.34607948017753,55.10180214901084,50.09058245189561,736252445.4776759,740766629.0079511,636754425.3834864,578243762.7828747,307.8166528637621,307.7833901874881,310.0053409494757,307.05598345182005,273.8332324106759,279.55579569872003,283.55424907346026,281.79771894635786,0.0094122890937788,0.0195709912725886,0.0810668773156303,0.0127865237140155,0.2518416686936268,-1.0478516431078395,-1.160078663049214,-0.9497387668279031,1.335447140251723,1.287748788758058,1.1006848708855257,1.3176491623401785
4,Абайское,40/41,192Абайское,2021,418.0,19.0,Пар чистый,Пшеница мягкая Шортандинская 2012  1 репродукция,8.6,13.732524643649349,0.0,0.0,0.0,0.0,0.0,98.1794705500855,394.22028591682414,299.39732986767484,67.96798204158792,344.2512405482042,356.3425685255197,703.7384588172868,147,151,38.85250401042749,43.86882962997709,54.38023915977987,49.3060218921696,736291889.9210527,742697696.0438597,638000304.3223683,580043005.8442982,307.78267067357115,307.79292484751915,309.922407719127,307.045220893726,274.4423833478961,279.4048983925268,283.76978367253355,281.8654753032484,0.0101120524079036,0.0193146642426828,0.0747326621640031,0.0150641328767814,0.2661275448742463,-1.0492312107634592,-1.1776094270908388,-0.9535339875977752,1.3630964176650977,1.2992212450047853,1.1192232559850337,1.3404705769024086
5,Абайское,45,196Абайское,2021,463.7,20.8,Пар чистый с мин удобр,Пшеница мягкая Ликамеро 1 репродукция,8.1,13.732524643649349,0.0,0.0,0.0,0.0,0.0,97.21247749179108,396.608836149812,290.1384224188164,67.66138687291411,337.413678020872,372.4785718069609,662.6064505878612,141,145,38.84026808827947,43.86542236979348,54.338218019820616,49.25641625391707,736287785.5515391,742828422.8705423,638070153.0571568,580161179.9452858,307.7725640815471,307.7929109947006,309.91329997798323,307.0500283066563,274.42803246927195,279.4022520556355,283.77324291503186,281.863544875957,0.0101812069415363,0.0193755473924402,0.0741254819072964,0.0152329413109998,0.2667836284087151,-1.048358559527576,-1.1796620295208078,-0.9533840226496874,1.3629415538788046,1.2989042273721427,1.1201919829370806,1.3417379993487293
6,Абайское,45ж,197Абайское,2021,176.7,11.5,Пар чистый,Пшеница мягкая Тризо 2 репродукция,14.1,13.732524643649349,2.333333333333333,2.1666666666666665,0.1666666666666666,0.45,0.1,98.8857308584687,400.1934174278672,325.2730172538786,67.34246773959691,309.9733217340873,364.6410033347833,719.5767111368908,135,135,39.41974810535509,43.32785543320743,53.91694073604071,48.30643404008997,736895157.4049587,747278928.0661157,641439486.0,584553974.0661156,307.73292566725047,307.7388391415935,309.9451304033768,307.21268772093714,273.65988108737406,279.4691270560273,283.73815274829707,281.41639810357213,0.0087480186093762,0.0204182398537471,0.0677766632201705,0.014921159464238,0.2591517520016547,-1.1154337052690315,-1.2055339112256795,-1.0174987001185165,1.3426201915997222,1.319033283531694,1.1348105226747935,1.3761755726383451
7,Абайское,46к,200Абайское,2021,104.0,15.6,Пар чистый,Пшеница мягкая Ликамеро 1 репродукция,28.25,13.732524643649349,0.0,0.0,0.0,0.0,0.0,98.19001182033098,386.2316784869976,298.6173167848699,67.98226950354608,354.24970449172577,347.18528368794324,675.0667848699763,142,143,39.68370976326091,43.62046304279511,53.67291258601233,48.11888874902385,736720414.0,747379880.0,641216436.0,584602862.0,307.5183563232422,307.71197509765625,309.5862731933594,307.18626403808594,273.3937072753906,279.3598327636719,283.6774444580078,281.40577697753906,0.0097248987134648,0.0212005474913716,0.0634445318757457,0.0160617518531083,0.2671045628927087,-1.0851039237446256,-1.229496390588822,-0.9972845213387602,1.3252104831466909,1.3013748782676982,1.1357721419861355,1.3737362429491966
8,Абайское,47,201Абайское,2021,446.9,19.7,Пар чистый,Пшеница мягкая Тризо 2 репродукция,8.3,13.732524643649349,0.0,0.0,0.0,0.0,0.0,99.36977280210732,378.9288535381239,304.4297312122873,67.89681843115744,345.2055403181569,350.3061985737794,657.6004829327187,134,138,39.4253517886499,44.117599744179785,54.14459968716116,49.00860974212654,736257520.0624026,743956741.7784714,638676713.2043684,581186475.4882995,307.6162685209801,307.7701178921181,309.849804906503,307.11405759147846,273.71981821045307,279.43495354377166,283.696799529696,281.7153515510737,0.0107589816251526,0.0199257220470981,0.0689349250661593,0.0166284320640951,0.2722734705846262,-1.0409886766314858,-1.197822547794006,-0.9522953543955704,1.3374491055610056,1.287250704250018,1.1238063891209684,1.3463025449676345
9,Абайское,48ж,205Абайское,2021,149.0,12.5,Пар чистый,Пшеница мягкая Тризо 2 репродукция,14.4,13.732524643649349,2.0,1.625,0.375,0.0,0.08,98.16071428571432,385.0255570117956,317.5216251638271,66.61795543905637,318.6790629095676,363.8299475753605,603.9272608125822,130,138,39.084253620614696,43.53736605275748,54.34088918944544,48.99488311211268,736706036.0,744858088.0,639799820.0,582223258.0,307.8503875732422,307.78228759765625,310.0243530273437,307.12962341308594,274.2101135253906,279.5688171386719,283.8376007080078,281.6817932128906,0.0087486044343663,0.0195905515301824,0.0742215582906169,0.0139109927521943,0.2576769282740931,-1.0987005220519173,-1.1820602609265236,-0.9963283038908436,1.3612949431934496,1.3167674303240244,1.1256510159316675,1.357462895688123
