Year,Агрофон,Культура,Fung Total/ha,Pest Total/ha,bdod,cec,clay,phh2o,sand,silt,soc,5_relative_humidity,6_relative_humidity,7_relative_humidity,8_relative_humidity,5_surface_solar_radiation_downwards_sum,6_surface_solar_radiation_downwards_sum,7_surface_solar_radiation_downwards_sum,8_surface_solar_radiation_downwards_sum,5_temperature_2m_max,6_temperature_2m_max,7_temperature_2m_max,8_temperature_2m_max,5_temperature_2m_min,6_temperature_2m_min,7_temperature_2m_min,8_temperature_2m_min,5_total_precipitation_sum,6_total_precipitation_sum,7_total_precipitation_sum,8_total_precipitation_sum,5_v_component_of_wind_10m,6_v_component_of_wind_10m,7_v_component_of_wind_10m,8_v_component_of_wind_10m,5_vapor_pressure_deficit,6_vapor_pressure_deficit,7_vapor_pressure_deficit,8_vapor_pressure_deficit
2021,Stubble,Flakes,0.0,0.0900015149219815,101.2575059453032,443.201486436269,295.4886659234486,68.80572277963583,393.93273875882574,310.4869565217392,627.2934750297264,42.98045211657957,41.94724471505942,53.65908936794205,49.868600492285644,738128464.287324,736203200.7380282,636729980.8971831,585086493.7394367,307.5153678356762,306.74039160500115,311.3852354667556,306.545893236617,273.8653500839019,280.16983633981624,282.48322091975683,280.0946062544702,0.0157918252402362,0.0158430375769533,0.0997982065326539,0.0089184027155838,0.1222119187687664,-1.4165716845739245,-1.0212525172502944,-1.378391955304323,1.2261597780694644,1.3643062255471514,1.142275685159658,1.3243579735790731
2021,Deep Tillage,Flakes,0.0,0.12,102.41551976573938,410.7868696479542,303.2804654907414,69.95703725389738,387.2385274097928,309.6060162482617,548.2678623718887,43.338458171611634,41.415515588664086,51.604369529406206,47.397716654543736,739866950.0,740956996.0,636547682.0,590470720.0,307.5509490966797,306.9052124023437,311.6493530273437,306.86212158203125,273.3331604003906,279.9670867919922,282.4508361816406,280.1429901123047,0.0139218852695179,0.0155112841475606,0.0721050420581264,0.0093970882998704,0.0707912175886092,-1.4169527464442784,-1.02571903633815,-1.4667216590655747,1.2261655668671803,1.3969060227195012,1.2189130239151718,1.428916404747672
2021,Fallow,Hard Wheat,0.25,0.15,99.23928501533042,396.6533820363968,286.96777770530304,69.4561998564999,390.8733285499968,322.1883764920749,611.7962032748384,43.17923716774237,41.457075768829554,51.8508978447155,47.480125558085426,739511090.7289722,742642525.8691591,637549873.2149533,591323134.6168226,307.4445494179414,306.82580965701663,311.4095567364559,306.6984898932626,273.24740543543743,279.86227516816047,282.349200667622,280.0381784884729,0.0150306595059475,0.0157993517246018,0.0752159441112998,0.0092615962190304,0.0684902455600443,-1.4175642578648875,-1.0380243273814496,-1.4558667488139356,1.221433691710168,1.3866234799068438,1.2029377216727213,1.4160420686950872
2021,Fallow,Hard Wheat,0.0,0.24,99.97611473553678,422.78014987330863,253.2734918324438,68.50293816378239,411.4247668337917,335.3098280230741,602.2407936593523,43.177927533884585,41.968960999922686,53.426607024175574,49.714485364280705,738275802.9799074,734644896.070067,635801487.1550746,584283463.3745493,307.61228285666164,306.80880804911897,311.57271042538326,306.7000040076923,273.67628635443833,280.2572187357868,282.4435016488612,280.05170944190286,0.0151950543466792,0.0158949897238829,0.0955461305817135,0.0088845235157079,0.1202377001696768,-1.4165407918076716,-1.0069888145649304,-1.3866764129086149,1.2256073830954906,1.3697501706293478,1.1556239982599403,1.336956721720342
2021,Stubble,Flakes,0.0,0.0900011875074219,100.30447708989158,457.1029257489218,241.36134747639588,69.5891712320783,423.6459377549832,334.9783191514161,628.5682639617582,43.31357723500915,41.9529940299546,53.14126712863017,49.30515778654202,738678022.034483,736081273.4660735,635925630.2903227,585620621.496107,307.51606441578434,306.7794752959017,311.4607607594322,306.6744137468009,273.9648234671825,280.1501857176241,282.47046845534754,280.1379541348297,0.0147358267397607,0.0158334539738406,0.0903399693772409,0.0089751113661152,0.1080381806663541,-1.420421052036526,-1.0146294232554434,-1.4088111145155564,1.2228700556298235,1.3714524258767449,1.16496319194963,1.3526949301792182
2021,Fallow,Hard Wheat,0.25,0.15,103.32400072564552,431.46402225178383,252.88015479501743,69.75220703833597,396.4811343572378,350.7126617486999,622.9022192658889,43.61816525041022,42.06216475989616,52.5934833559817,48.73809608489655,739318728.9421296,736237984.9120371,635357894.8958334,586743208.1597222,307.5788399025247,306.84137457388425,311.5583942554616,306.82961640534586,273.7069754070706,280.2028613796941,282.55199178059894,280.16996765136724,0.0134755765548699,0.0150733199797008,0.0818256388534071,0.0094040266185578,0.099262401289505,-1.4143530216236668,-1.0017098467552246,-1.4337956017110984,1.2196341216818736,1.3768397165201787,1.1903688349516572,1.383163645811541
2021,Stubble,Flakes,0.0,0.0999999999999999,100.86853083774945,390.8737453479191,305.23604375775346,69.02802526220819,378.6073643847976,316.22104432164207,754.6673807644605,43.15488632311438,41.73198315599258,52.98248352175626,48.72989982472126,738570558.9048898,740186211.4218161,637621889.7205805,588624646.0225686,307.4214141944094,306.7632965137086,311.1804263008852,306.5713697020435,273.7571496896882,279.99157582016034,282.38451494138,280.0470497996368,0.0159356238454144,0.0158913293519384,0.0889224102928228,0.0090253308234855,0.092884912280932,-1.41905045760369,-1.0345216616184458,-1.4125776799303034,1.2223255889707785,1.3743193207195183,1.1641236081091826,1.3668213147656783
2021,Stubble,Flakes,0.0,0.0999999999999999,102.75361606515943,372.5336096087659,298.28889513240154,68.66235864297253,372.8422420453748,328.8718831214442,592.2152085381265,43.162873791454295,41.59553950353453,52.23693516457072,47.60629510456736,738925229.9718121,744954867.4899328,639040322.085906,592654944.538255,307.44671776278705,306.85873191884696,311.2378443161113,306.66277541602216,272.9623919595808,279.8250299748159,282.2402460495097,279.91327770668386,0.01673085876271,0.0159679937172932,0.0798591265160135,0.0091776571203885,0.0673170596720327,-1.4129808674936055,-1.0492638687107774,-1.4346114571376514,1.2179758153200597,1.3806288659545962,1.1884669765639546,1.4084800761725271
2021,Deep Tillage,Hard Wheat,0.0,0.1,103.49462933615077,344.41313149093463,288.4932230241154,69.66308748459778,378.18192219679634,333.3588276711847,610.437048776193,42.3819295347988,39.95327430138133,49.61663691192783,45.44231356661753,741099388.0,754467676.0,640810986.0,603211026.0,307.3464813232422,306.840576171875,311.5731811523437,306.2135772705078,272.9659729003906,280.4123992919922,283.0231018066406,280.7797088623047,0.0089797661479664,0.0115669765818715,0.0602076569377345,0.0061995077239274,-0.0144282989604498,-1.523917535940806,-1.2024571600780691,-1.6263627198434645,1.2478607268267177,1.449654096974305,1.282509592635112,1.497153733267365
2021,Stubble,Flakes,0.0,0.0,104.80299588679476,314.44401473296494,246.4878453038674,71.83572744014731,446.3911602209945,307.06089625537135,600.1990914113819,47.182286784245576,43.69449237449979,51.69161708622114,49.402970626229084,742241732.207143,750841492.6571431,633399765.0964288,602684976.6928573,307.28915361676906,306.97818385532923,311.85115618024554,306.4658778599332,273.25732863289966,280.99982256208153,283.9963954380581,281.5108054024833,0.0077452019628239,0.0112224968592354,0.0505265246349819,0.0081257855146781,-0.005977647571886,-1.634020730162424,-1.256736192139246,-1.741719767538267,1.142421665021165,1.3834106599918328,1.262107141710368,1.409342982295849
